,property_id,Description
10,B68809960,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. Facilities extend to indoor squash courts and meditation gardens."
11,Z68808868,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. It also includes a dedicated cycling track and community library."
12,E68802270,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. The society is equipped with EV charging stations and smart home integrations."
13,I68801870,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. It also provides daycare facilities and dedicated coworking hubs for professionals."
14,Q68795508,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. It also includes a dedicated cycling track and community library."
15,G39938621,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. It also provides daycare facilities and dedicated coworking hubs for professionals."
16,Y68783892,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. It also provides daycare facilities and dedicated coworking hubs for professionals."
17,I68780016,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. The society is equipped with EV charging stations and smart home integrations."
18,H68779518,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. The society is equipped with EV charging stations and smart home integrations."
19,V68773394,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. Residents have access to rooftop lounges and outdoor yoga spaces."
20,K68771888,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. Residents have access to rooftop lounges and outdoor yoga spaces."
21,E62464936,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. The society is equipped with EV charging stations and smart home integrations."
22,J68768928,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. Residents have access to rooftop lounges and outdoor yoga spaces."
23,P68756334,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. Facilities extend to indoor squash courts and meditation gardens."
24,I68755244,"Located in a well-planned township, this flat offers access to high-class facilities such as a temperature-controlled swimming pool, indoor badminton court, and open-air amphitheater. The project includes solar-powered lighting, landscaped jogging trails, and a fully automated car parking system. Residents also enjoy access to a healthcare center, cafeteria, and 24/7 concierge services. Facilities extend to indoor squash courts and meditation gardens."
25,Y62594040,"Located in a well-planned township, this flat offers access to high-class facilities such as a temperature-controlled swimming pool, indoor badminton court, and open-air amphitheater. The project includes solar-powered lighting, landscaped jogging trails, and a fully automated car parking system. Residents also enjoy access to a healthcare center, cafeteria, and 24/7 concierge services. Facilities extend to indoor squash courts and meditation gardens."
26,R68745658,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. It also provides daycare facilities and dedicated coworking hubs for professionals."
27,L68741592,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. It also provides daycare facilities and dedicated coworking hubs for professionals."
28,E61109994,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. It also provides daycare facilities and dedicated coworking hubs for professionals."
29,F68736184,"The flat is part of a premium residential society featuring advanced amenities. Facilities include a swimming pool, clubhouse, meditation zone, and jogging track. There is round-the-clock water supply, advanced fire safety systems, and a fully functional lift. Residents benefit from a private balcony with scenic views, indoor sports rooms, and an eco-friendly rainwater harvesting system. The society is equipped with EV charging stations and smart home integrations."
30,L62335910,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. Residents have access to rooftop lounges and outdoor yoga spaces."
31,F68728864,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. The society is equipped with EV charging stations and smart home integrations."
32,V65879520,"The flat is part of a premium residential society featuring advanced amenities. Facilities include a swimming pool, clubhouse, meditation zone, and jogging track. There is round-the-clock water supply, advanced fire safety systems, and a fully functional lift. Residents benefit from a private balcony with scenic views, indoor sports rooms, and an eco-friendly rainwater harvesting system. It also provides daycare facilities and dedicated coworking hubs for professionals."
33,S68717370,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. Residents have access to rooftop lounges and outdoor yoga spaces."
34,U68713020,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. It also includes a dedicated cycling track and community library."
35,S66360270,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. Residents have access to rooftop lounges and outdoor yoga spaces."
36,V68710666,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. The society is equipped with EV charging stations and smart home integrations."
37,I68708876,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. Residents have access to rooftop lounges and outdoor yoga spaces."
38,V37903509,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. It also includes a dedicated cycling track and community library."
39,W63126780,"The flat is part of a premium residential society featuring advanced amenities. Facilities include a swimming pool, clubhouse, meditation zone, and jogging track. There is round-the-clock water supply, advanced fire safety systems, and a fully functional lift. Residents benefit from a private balcony with scenic views, indoor sports rooms, and an eco-friendly rainwater harvesting system. It also provides daycare facilities and dedicated coworking hubs for professionals."
40,B68691862,"The flat is part of a premium residential society featuring advanced amenities. Facilities include a swimming pool, clubhouse, meditation zone, and jogging track. There is round-the-clock water supply, advanced fire safety systems, and a fully functional lift. Residents benefit from a private balcony with scenic views, indoor sports rooms, and an eco-friendly rainwater harvesting system. Residents have access to rooftop lounges and outdoor yoga spaces."
41,P68689268,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. The society is equipped with EV charging stations and smart home integrations."
42,I68689004,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. Residents have access to rooftop lounges and outdoor yoga spaces."
43,G61210394,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. Facilities extend to indoor squash courts and meditation gardens."
44,B68678244,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. Residents have access to rooftop lounges and outdoor yoga spaces."
45,Z68669004,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. Residents have access to rooftop lounges and outdoor yoga spaces."
46,K68668944,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. It also includes a dedicated cycling track and community library."
47,P54457592,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. Residents have access to rooftop lounges and outdoor yoga spaces."
48,D68662462,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. Facilities extend to indoor squash courts and meditation gardens."
49,M68651514,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. Residents have access to rooftop lounges and outdoor yoga spaces."
50,N37432221,"The flat is part of a premium residential society featuring advanced amenities. Facilities include a swimming pool, clubhouse, meditation zone, and jogging track. There is round-the-clock water supply, advanced fire safety systems, and a fully functional lift. Residents benefit from a private balcony with scenic views, indoor sports rooms, and an eco-friendly rainwater harvesting system. It also provides daycare facilities and dedicated coworking hubs for professionals."
51,R68647522,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. It also provides daycare facilities and dedicated coworking hubs for professionals."
52,F68641358,"The flat is part of a premium residential society featuring advanced amenities. Facilities include a swimming pool, clubhouse, meditation zone, and jogging track. There is round-the-clock water supply, advanced fire safety systems, and a fully functional lift. Residents benefit from a private balcony with scenic views, indoor sports rooms, and an eco-friendly rainwater harvesting system. It also provides daycare facilities and dedicated coworking hubs for professionals."
53,H63910126,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. Facilities extend to indoor squash courts and meditation gardens."
54,P68640518,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. Residents have access to rooftop lounges and outdoor yoga spaces."
55,E68637580,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. Residents have access to rooftop lounges and outdoor yoga spaces."
56,P68625470,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. The society is equipped with EV charging stations and smart home integrations."
57,J65037714,"The flat is part of a premium residential society featuring advanced amenities. Facilities include a swimming pool, clubhouse, meditation zone, and jogging track. There is round-the-clock water supply, advanced fire safety systems, and a fully functional lift. Residents benefit from a private balcony with scenic views, indoor sports rooms, and an eco-friendly rainwater harvesting system. The society is equipped with EV charging stations and smart home integrations."
58,L65391812,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. Facilities extend to indoor squash courts and meditation gardens."
59,K68618946,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. Facilities extend to indoor squash courts and meditation gardens."
60,N64363220,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. Residents have access to rooftop lounges and outdoor yoga spaces."
61,D68607336,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. The society is equipped with EV charging stations and smart home integrations."
62,T68605618,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. The society is equipped with EV charging stations and smart home integrations."
63,F54906058,"The flat is part of a premium residential society featuring advanced amenities. Facilities include a swimming pool, clubhouse, meditation zone, and jogging track. There is round-the-clock water supply, advanced fire safety systems, and a fully functional lift. Residents benefit from a private balcony with scenic views, indoor sports rooms, and an eco-friendly rainwater harvesting system. Residents have access to rooftop lounges and outdoor yoga spaces."
64,I68596870,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. It also provides daycare facilities and dedicated coworking hubs for professionals."
65,I68593654,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. Facilities extend to indoor squash courts and meditation gardens."
66,P59185856,"The flat is part of a premium residential society featuring advanced amenities. Facilities include a swimming pool, clubhouse, meditation zone, and jogging track. There is round-the-clock water supply, advanced fire safety systems, and a fully functional lift. Residents benefit from a private balcony with scenic views, indoor sports rooms, and an eco-friendly rainwater harvesting system. It also includes a dedicated cycling track and community library."
67,O68590264,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. Facilities extend to indoor squash courts and meditation gardens."
68,Y68589358,"Located in a well-planned township, this flat offers access to high-class facilities such as a temperature-controlled swimming pool, indoor badminton court, and open-air amphitheater. The project includes solar-powered lighting, landscaped jogging trails, and a fully automated car parking system. Residents also enjoy access to a healthcare center, cafeteria, and 24/7 concierge services. It also includes a dedicated cycling track and community library."
69,D68585736,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. Residents have access to rooftop lounges and outdoor yoga spaces."
70,C68575328,"Located in a well-planned township, this flat offers access to high-class facilities such as a temperature-controlled swimming pool, indoor badminton court, and open-air amphitheater. The project includes solar-powered lighting, landscaped jogging trails, and a fully automated car parking system. Residents also enjoy access to a healthcare center, cafeteria, and 24/7 concierge services. Residents have access to rooftop lounges and outdoor yoga spaces."
71,R68572186,"Located in a well-planned township, this flat offers access to high-class facilities such as a temperature-controlled swimming pool, indoor badminton court, and open-air amphitheater. The project includes solar-powered lighting, landscaped jogging trails, and a fully automated car parking system. Residents also enjoy access to a healthcare center, cafeteria, and 24/7 concierge services. It also provides daycare facilities and dedicated coworking hubs for professionals."
72,R68567906,"Located in a well-planned township, this flat offers access to high-class facilities such as a temperature-controlled swimming pool, indoor badminton court, and open-air amphitheater. The project includes solar-powered lighting, landscaped jogging trails, and a fully automated car parking system. Residents also enjoy access to a healthcare center, cafeteria, and 24/7 concierge services. Residents have access to rooftop lounges and outdoor yoga spaces."
73,F68562282,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. It also includes a dedicated cycling track and community library."
74,C68557164,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. Residents have access to rooftop lounges and outdoor yoga spaces."
75,Z68555144,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. It also provides daycare facilities and dedicated coworking hubs for professionals."
76,Q68539508,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. It also includes a dedicated cycling track and community library."
77,C68532182,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. The society is equipped with EV charging stations and smart home integrations."
78,I68531730,"Located in a well-planned township, this flat offers access to high-class facilities such as a temperature-controlled swimming pool, indoor badminton court, and open-air amphitheater. The project includes solar-powered lighting, landscaped jogging trails, and a fully automated car parking system. Residents also enjoy access to a healthcare center, cafeteria, and 24/7 concierge services. The society is equipped with EV charging stations and smart home integrations."
79,B68526250,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. The society is equipped with EV charging stations and smart home integrations."
80,D21293994,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. Residents have access to rooftop lounges and outdoor yoga spaces."
81,D54355506,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. It also includes a dedicated cycling track and community library."
82,W68513490,"The flat is part of a premium residential society featuring advanced amenities. Facilities include a swimming pool, clubhouse, meditation zone, and jogging track. There is round-the-clock water supply, advanced fire safety systems, and a fully functional lift. Residents benefit from a private balcony with scenic views, indoor sports rooms, and an eco-friendly rainwater harvesting system. It also includes a dedicated cycling track and community library."
83,L68503958,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. The society is equipped with EV charging stations and smart home integrations."
84,Y68497256,"This modern apartment offers a well-designed layout with spacious living areas. Facilities include a fully equipped modular kitchen, high-speed elevators, 24/7 power backup, and a dedicated security system with CCTV surveillance. Residents can enjoy a landscaped garden, indoor gym, and children’s play zone. The community also provides a multi-purpose hall for gatherings and dedicated parking facilities. It also includes a dedicated cycling track and community library."
85,Q68490110,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. Residents have access to rooftop lounges and outdoor yoga spaces."
